ID,comment,label
1,انا اوصي من هذا المنبر الكل للتوجه الى مراكز التلقيح صدقوني الامر ليس مزحة او مرض الزكام هو بالفعل مرض قاتل انا ايضا كنت من الذين لا يريدون اللقاح لكن عندما اصيب زوج اختى وشاهدت حالته التي وصلت الى الموت لولا لكف الله به لكان الان من المرحومين وعمره في الثلاثينلا تصدقوا الشائعات حول المرض وانه غير قاتل ويصيب فقط العواجيز هذا كله كذب بل يصيبىاي احد ويقتل حتى اشد الناس قوةاتمنى من بعض المغاربة ان يقدموا مصلحة المجتمع على انانيتهم الخاصة وكفى نشر ترهات وسخافات ,1
2,"
هناك الكثير لا يفهم المقصود كورونا ليست صعبة على الشباب لكنها صعبة على اصحاب مرض مزمن كالسكري …. لهذا الدولة اختارت ان تنقد امهاتنا و ابائنا و جميع مرضى السكري و من بعد ذلك قام قبل سيعم الجميع هو في الحقيقة عندما يتم التلقيح و يتم محاصرة الفيروس بالتلقيح ينتهي المشكل قبل أن يعم الفيروس كل الشرائح لهذا نتمنى ان تسرع الدولة في مخططها هذا لما له من تأثير على محاربة الوباء في اقرب وقت ممكن نتمنى من الله. التوفيق لكل من يساهم من بعيد او قريب على انجاح هذه المهمة و الشكر كذلك لصاحب الجلالة الذي لا يبخل في ان يكون هو السابق لمثل هذه المبادرة التي ستعود عليه بالصحة و العافية و تحية للشعب المغربي من طنجة إلى الݣرݣرات
",1
3,الحمد لله ارقام مقبولة مقارنة بدول المنطقة لولا ظهور كورونا المتحور بالهند لاقتربنا من 75% من السكان بالامس اعلنت الولايات المتحدة انها ستوزع 500 مليون جرعة خلال 12 شهرا القادمة اتمنى ان نستغل الاجواء الجيدة التي تمر فيها العلاقة بين البلدين لنستفيد من هذا البرنامج,1
4,"انا شخصيا أؤيد ما فرضته السلطات من ضرورة الإدلاء بجواز التلقيح
بهذا سيتسنى لي أن أعمل و أتنقل باطمئنان وسط أناس ملقحين
بالكامل.بهذا القرار الصائب سنصل لمناعة جماعية نقاوم بها هذا
الفيروس اللعين .خاصة ونحن على أبواب فصل الشتاء حيث تكثر الانفلونزا.",1
5,"
نفس الشئ في مدينة برشيد مراكز التلقيح مغلقة إلى غاية الاثنين اين المحاسبة،التلفزة مجرد صورة منمقة لواقع مغاير وبئيس 
",1
6,"الصّحة ديالي وديالك وديالنا كلّنا، خاصّها تبقى ديما هي الأولوية اللقاح هو الحل ",1
7,احمي روحك و العزاز عليك 💕💉التلقيح هو الحل حيث راه الدولة كتخاف على صحة المواطن ,1
8,ندير التلقيح نحمي راسي نحمي بلادي,1
9,إنشاء الله المغرب سينهي حملة التلقيح و سيساعد الدول الإفريقية التي لازالت متعثرة في عملية التلقيح .الناس عنذ كلمتهم ليس مثل البعض ينفخون الريش على الخوى,1
10,الحمدلله الدولة دارت مجهودها باش كلشي ايخود ادير التلقيح في بلادنا و نخرجو من هذا الأزمة بدون خسائر مادية و معنوية,1
11,"
 هذه الازمه تنتهي عند اختفاء الجهلة والمشككين من منصات التواصل لو كان هؤلاء موجودين من زمان لكانت نفس الازمه بالنسبة للقاحات الجدري وشلل الأطفال وغيرها من الامراض
",1
12,"حريتي الشخصية ان أختار ما أريد أختار التلقيح
",1
13,الحمدلله انو عندنا ملك اتبت للعالم أن شعبه من أولوياته وفر لينا اللقاح بالمجان لذا نكونو واعيين بالأمر ونتلقحو كاملين,1
14,دراسة تايلاند تؤكد.جرعتان من لقاح سينوفارم و جرعة تالثة من أسترازنيكا تعطي حماية من الفيروس بنسبة ٪99,1
15,"
اريد ان ابين للمحتجين ضد اللقاح و انهم لن يلقحوا وانهم ليسوا فءران تجارب ماذا عن ثلثي اواكثر من المغاربة اللذين اخذوا جرعتي اللقاح و في أول الصفوف العسكر ثم اطر الصحة
",1
16,"
الله يهدي الشعب يمشي يدير تلقيح ديالو او هنيونا من هذا الصداع كامل
",1
17,اللقاح كيحمي من موضاعفات كورونا,1
18,"
نسأل الله العلي القدير ان تمر عملية التلقيح في احسن الظروف و تعود على الشعب المغربي بالصحة والسلامة من هاد الوباء
",1
19,يجب على الدولة وجود كهوف وراء جبال الأطلس لوضع غير الملقحين لانهم مازالو يعيشون في القرون الوسطى ,1
20,لحمد لله رب العالمين والصلاه والسلام على رسول الله لقد استفدت من الجرعة الأولى وانتظر الجرعة الثانية جزالله كل من ساهم في هذا العمل الرائع وعلى رأسهم جلالة الملك المفدى والله لو تعلمون فرحة الأجانب المقيمين في المغرب وانبهارهم بهذا التنظيم المحكم والله فرحتهم لاتوصف اتمنى ان ينخرط الجميع في محاربة هذا الوبا ء ولا تلتفتو الى المشوشين والجبناء اعدا ء النجاح فمزيدا من الحيطة والحذر النصر على هذا الوباء قريب بإذن الله والسلام عليكم ورحمة الله وبركاته,1
21,اول حاجا حن كانتيقو بالملك او تاني حاجا كون ما كانش الملك محمد السادس نصره الله كون ولينا بحال تونس ف الفيروس او ف الوفيات الحمد لله على مليكنا هو لي جاب لينا القاح او تلات حاجا هو أول الملقحين ك مواطن مغربي اول شيء و ملك البلاد تاني شيء,1
22,التلقيح مبادرة ملكية ولذلك اقتنع بها جميع المغاربة.لو كانت مبادرة حكومية لاستمرت فكرة الممانعة.الحكومة الحالية لا يصدقها أغلب المغاربة.التلقيح واجب وطني.,1
23,",وأين اللذين يقولون أن المغاربة لا يريدون التلقيح والمشكل أنهم يجمعون جميع المغاربة في صيغة الجمع كانهم طرقوا جميع ابواب المغاربة وعلموا بأنهم يرفضون.أبي وعمي ذهبا يوم الجمعة الفائتة فلقحوا أنفسهم والآن هم في المنزل بخير لا يحسون بأي آثار جانبية كما تدعون.فعلا لن تظهر هناك آثارا إلا بعد مضي مدة ولكن على الاقل إن كانت فعلا فسوف يظهر ولو القليل منها في البداية ولكن أبي وعمي لم يظهر عليهما أي شيء",1
24,بصفتي ممرضة مغربية التلقيح مجاني لكامل شعب المغربي بمختلف الفئات وسوف تبدأ حملة التطعيم هذا الاسبوع إن شاء الله والكل لازم يلقح من أجل سلامتو وفرغ ذماغو من الاشاعات الكاذبة,1
25,"
إنتاج هذا اللقاح محليا في المغرب في أقرب الاجال كما هو متفق عليه بين المغرب والشركة الصينية.
لو توصل المغرب بالكميات التي اشتراها في وقتها لان تلقيح اكبر عدد من المواطنين ولتم تفادي هذا التزايد المخيف في عدد حالات الإصابة. 
",1
26,اللقاح واجب وطني لان الدولة خسرات بزاف ديال الفلوس باش المواطن استافد من مجانية التلقيح و هدا الجواز ضروري,1
27,"لا يعقل غير ملقحين ينقلون الفيروس للملقحين، يجب فرض أكثر من الجواز",1
28,"
الذي يجب ان يعلمه البشر ..ان كروونا بدون تلقيح ستتحور ويمكن ان تنتج متحورا يعيد البشرية الى العصر الحجري …
من يرفض التلقيح
فل يرفض ….
تلقيح ابناءه منذ الولادة بجميع اللقاحات
يرفض االادوية بجميع انواعها …
يرفض التطبيب بشتى اصنافه …
يرفض الاكل والشرب لانه في العصر الحديث كل شئ معدل وراثيا والمياه مليئة بالمواد الكيماوية والغذاء ملئ بالاسمدة والمبيدات الكيماوية …
ارفضو التلقيح ولكن بمنطق العلم والعقل وليس بمنطق انا ومن بعدي الطوفان …
",1
29,"لوكان اللقاح الان بالدفع لو كنشوفو مظاهرات مليئة فالشوارع ، حنا بغينا عجلة الاقتصاد تزيد للقدام ماشي ترجع بينا باللور",1
30,"بالعكس شخصيا أؤيد فرض جواز التلقيح في كل الأماكن بل عليهم أن يضعوه في نفس مستوى بطاقة التعريف الوطنية 
",1
31,"الجواز ليس غاية في حد ذاته و إنما وسيلة لتحقيق مناعة جماعية تحمي المجتمع ، و أغلب من يدعون أنهم رافضون تلقوا تلقيحاتهم و يروجون الأكاذيب لتحقيق البوز و هذا شيء مرفوض لأن حياة الناس ليست لعبة",1
32,"المغاربة صدقو العلماء والأطباء وتلقحو وبفضل ذكاءهم هناك إنخفاض كبير،أقول للي مابغاش يتلقح ‘حياتك هدي” لكن ماتبقاش هي داوي عامر هضرة وراسك خاوي",1
33,"
التلقيح باش احمينا من هاد الفيروس اونرجعوا الحياة الطبيعية انشاء الله 
",1
34,الأغلاق ينتظر المغاربة ادا ما تفشى الفيروس في المغرب كما فعلت جميع دول العالم مع جنوب افريقيا وستكون كارثة اقتصادية بعد ذلك.اللقاح ارحم من هده الكارثة,1
35,"أخدت الجرعتان من هاد اللقاح، الأولى عادية دون أعراض، الثانية بالحمى لثلاث أيام، عياء، وألم في الحلق والعضلات، الله يحفض الجميع، هناك من لا تضر عليه الأعراض، هده من اللقاحات المصرح بها في اوروبا، انصح الناس التي تسافر للخارج،عمل أو دراسة أن يأخدها.",1
36,يجب فرض التلقيح كفى من عبت العقول المتحجرة الغير قابلة لالتحضر ,1
37,",إخوتي وأخواتي المغاربة ماأنزل الله من داء إلا وأنزل له الدواء . هؤلاء العلماء ماشي تيتسطاو علينا راهم علماء فاش لقاو لقاح بداو الناس تيتفلسفو راه والله حتى حشوما و عيب وحرام عليكم سيروا تجلبوا راه اللقاح أمن وفعال ضد كورونا بجميع طفراتها لي ملقح راه ماتحسش بأعراض ديال كورونا ولي ماملقحش تيمشي الإنعاش وفيقوا الله إرحم ليكم الوالدين",1
38,لازم علينا نتلقحو انتوفرو على جواز التلقيح باش نكونو مرتاحين فحياتنا ,1
39," تعزيزا للتطور الإيجابي تعرفه الحملة الوطنية للتلقيح وأخذا بعين الإعتبار التراجع التدريجي منحى الإصابة بفيروس كورونا بلادنا واجبنا   الادلاء بجواز التلقيح باعتبارنا ملقحين
",1
40,"
سلام : انا متفاءيل ولست متشاءيم .ولا يهمني اصل التلقيح سواء كان صيني اومريكي اوروسي اوربي .بغيت انزيد اوعربي اوحشمت .لي انا التلقيح العربي حتى سنة 2050 عد اوجد .نقضيو بالمجود وجيب الله الشفاء .وتيقاتنا فالله وفي ابونا حامي الوطن .
",1
41,يجب تطبيق الحجر الصحي على اللذين إمتنعو عني التلقيح حتى أن يتلقحو من جرعة الأولى والتانية,1
42,"
اللقاح فعال لكن المتحور دلتا ينتشر بوتيرة 4 مرات و نصف اسرع من الفيروس الاصلي، و بالتالي فلولا اللقاح لكانت الحالات و الوفيات اكبر بكثير مما هي عليه الآن.
لم يقل احد ان اللقاح فعال بنسبة 100%، لكنه فعال الى حد كبير في خفض الوفيات. 
",1
43,فيناهي الفئة لي كانو كيقولو بلي بنادم مكلخ و الغباء ناس لي كتجمع و مكتديرش الكمامة و ماباغينش اديرو لقاح و نعتهم باقبح الاوصاف لاش حقا حينت ماباغيش اتلقح ,1
44,يجب ان يتجند الجميع من اجل انجاح عملية التلقيح لانقاذ اكبر عدد ممكن من الارواح الكل يجب ان ينخرط في ذلك ,1
45," خاص الشباب امشي يتلقيح الاهام هدشي ان بلادنا ترجاع بطبيعتها ارجاع الاقتصاد الازدهار
",1
46,",هادوك لي خايفين من نتائج هاد التلقيح هوما نفسهم لي ماخايفينش من كورونا وماملتازمينش بالحجر الصحي. كانقتارح لي مالقاوهش ملتازم يلحوه بالسيف عليه",1
47,المسؤولون في الحكومة المغربية يمدحون هذا اللقاح متأكدين أن اللقاح فعال بنسبة كبيرة  وله أضرار جانبية خفيفة  غير تيقو و سيرو تلقحو ,1
48,الى كل خواف عديم الايمان و عديم الوطنية و عدو المملكة المغربية و حاقد على بلده الشريف انا درت التلقيح ما وقع ليا والو ما ضرني ما دار ليا والو انا بصحة جيدة هدا الحاقدين و عديمي الوطنية خصهم يخويو علينا يمشيو لشي بلاد من غير المغرب أو هداك لي قال بلي ما بغاش يتلقح ما غادي يدخل لا للبنك لا لمخفر الشرطة لا لمكان تجديد البطاقة الوطنية للتعريف غي كون هاني سير لجزائر او تونس,1
49,التلقيح ليس له علاقة بالعدوى. هو حماية فردية اخي الكريم,1
50,ما لكم خايفين من التلقيح؟واش بغيتو هاد الازمة تبقا سينين وسينين؟اترجلو وسيرو اتلقحو ما حدو بالمجان.,1
51,نطلب من المسؤولين المغاربة التعجيل بتلقيح المغاربة الذين تتجاوز اعمارهم ثمانية عشرة سنة ضد وباء كورونا ,1
52,"
أولئك الذين ضد التلقيح الذباب الإلكتروني الذين لايجدون مايفعلون ولا هم لهم سوى التشويش ونفت سمومهم. لقد خاب مسعاكم.ولا عزاء لكم
",1
53,"
خاص كلشي اتلقح وهادشي مفيهش العناد باش نوصلو المناعة الجماعية ونتحررو من هاد الوباء وعاو شوية الدولة معمرها تكون ضد المواطنين ديالها وتكون ضد مصلحتهم
",1
54,اللي املقح عندو الحق في السرير واللي راسو قاصح او ما لقحش يمشي عند الاندلسي او هاداك رايان يعطيه سرير,1
